,temp,temp,temp,temp,rainfall,humidity
,mean,min,max,std,sum,mean
date,,,,,,
2015-08-31,30.605263157894736,27.8,32.5,1.272562456101216,65.573,72.55263157894737
2015-09-30,30.0,28.2,32.5,1.5111351401395936,18.884000000000004,63.58888888888888
2015-10-31,26.13684210526316,21.2,29.6,2.6520873385810635,0.74,58.199999999999996
2015-11-30,20.044444444444444,18.3,23.3,1.728386606473768,0.0,62.07222222222222
2015-12-31,13.468421052631578,11.4,16.5,1.5018701791725264,0.0,68.3
2016-01-31,13.557894736842107,10.2,19.7,2.873502661188893,0.0,82.1263157894737
2016-02-29,19.900000000000002,16.8,22.9,2.0919488521472007,1.2,63.18235294117647
2016-03-31,25.052941176470586,22.3,29.1,2.0044069094930617,14.634,53.517647058823535
2016-04-30,32.37777777777777,30.2,34.5,1.2144015982491385,0.0,26.477777777777778
2016-05-31,34.242105263157896,26.8,37.1,3.078476497207613,21.101,43.857894736842105
2016-06-30,33.416666666666664,30.3,35.3,1.5771344080884395,33.875,60.8111111111111
2016-07-31,29.857894736842102,27.2,33.4,2.0505597581239674,178.93599999999998,81.58421052631579
2016-08-31,29.931578947368422,27.1,31.7,1.1986347008988305,116.42000000000002,78.99473684210527
2016-09-30,30.700000000000003,29.0,31.7,0.7211102550927978,5.253,66.74444444444445
2016-10-31,25.826315789473682,22.8,27.8,1.4440845255590364,0.0,55.36842105263158
2016-11-30,20.144444444444446,18.5,22.5,1.11049656207441,0.0,56.47222222222222
2016-12-31,15.305555555555555,13.3,18.0,1.135249245616663,0.0,74.30555555555556
2017-01-31,14.326315789473684,10.0,19.2,2.413582423900013,30.715,79.9578947368421
2017-02-28,19.94375,16.7,24.0,1.9839249817806446,0.0,60.5375
2017-03-31,25.405263157894737,17.7,31.1,4.284918472478736,0.0,49.37894736842105
2017-04-30,32.72777777777778,30.9,35.5,1.4203585113109953,2.498,33.15555555555555
2017-05-31,33.28947368421053,27.3,37.2,2.876319936006599,44.504,43.51052631578948
2017-06-30,31.400000000000002,27.3,36.1,2.962312292390366,170.864,65.81666666666666
2017-07-31,30.626315789473683,28.3,33.2,1.2952228916990656,109.223,77.67894736842106
2017-08-31,30.410526315789472,27.5,33.1,1.531119683558447,144.786,76.13684210526316
2017-09-30,29.564705882352943,24.6,31.8,2.0402025562645085,72.763,70.09411764705882
2017-10-31,26.105263157894736,23.6,28.2,1.4581090053027703,0.0,57.96315789473684
2017-11-30,18.52777777777778,16.2,21.1,1.5223069009413306,0.425,57.083333333333336
2017-12-31,14.878947368421052,12.4,17.3,1.3100377209872076,0.0,69.99473684210527
2018-01-31,13.506451612903225,10.9,16.9,1.6743029363232462,3.463,75.03548387096774
2018-02-28,18.589285714285715,14.7,24.7,3.119869333174812,0.0,61.88214285714286
2018-03-31,25.074193548387097,21.0,29.3,2.077653763573306,0.0,48.81935483870968
2018-04-30,30.66,26.1,34.7,2.2380101999705944,14.06,37.513333333333335
2018-05-31,33.96451612903226,28.7,37.9,2.6621480533705317,24.924,35.3258064516129
2018-06-30,34.68666666666666,29.4,38.2,2.566996545453035,41.867,50.99
2018-07-31,31.106451612903225,27.0,35.2,2.073473009851017,285.298,76.40967741935484
2018-08-31,30.393548387096775,28.0,31.8,1.1008891811836958,187.92000000000002,78.24193548387096
2018-09-30,28.366666666666667,24.2,30.0,1.5443631280448167,216.146,79.60333333333332
2018-10-31,25.906451612903226,23.2,29.2,2.0446573443767986,0.0,60.29032258064516
2018-11-30,20.573333333333334,18.3,24.2,1.609011976409713,6.722,65.21
2018-12-31,14.435483870967742,10.9,18.1,2.130969792855948,1.0259999999999998,72.99032258064516
2019-01-31,13.62258064516129,11.2,18.3,1.5683770119499028,50.865,76.6032258064516
2019-02-28,16.2,12.1,21.0,2.021184104723068,22.442,78.78928571428571
2019-03-31,21.606451612903225,15.6,30.2,3.763768987231724,10.693,60.87419354838709
2019-04-30,30.523333333333333,23.1,35.4,3.2795798020723503,8.22,42.419999999999995
2019-05-31,32.648387096774194,27.0,37.3,2.454909498364716,26.834,39.596774193548384
2019-06-30,35.07333333333334,27.8,39.0,2.6484782010825016,8.483,43.919999999999995
2019-07-31,31.41290322580645,26.9,36.2,2.5988127976037934,194.257,71.23225806451612
2019-08-31,30.35483870967742,26.9,32.6,1.4692035732957316,123.742,78.49032258064516
2019-09-30,29.95,26.4,33.0,1.9438231081716413,107.91599999999998,74.75666666666666
2019-10-31,26.148387096774194,23.9,28.0,1.384887713316361,44.745,63.99354838709677
2019-11-30,21.133333333333333,16.8,24.8,1.7032086015018526,1.49,66.06666666666666
2019-12-31,12.641935483870967,6.5,16.9,3.4191396767362794,34.385000000000005,82.58064516129032
2020-01-31,13.264516129032257,10.5,15.8,1.500566201382393,41.024,82.03548387096774
2020-02-29,16.882758620689657,12.0,21.3,2.897421139752338,19.403,71.04827586206896
2020-03-31,21.483870967741936,16.0,24.8,2.393337526578532,170.106,67.83225806451614
2020-04-30,28.15,23.6,32.4,2.444522377719709,27.486,45.28333333333333
2020-05-31,32.12903225806452,25.8,38.2,3.2655978062612157,31.313,42.81935483870968
2020-06-30,32.92333333333333,28.7,36.2,2.3684249579856225,67.303,58.876666666666665
2020-07-31,31.258064516129032,26.2,35.5,2.212957929039533,234.22899999999998,75.00645161290322
2020-08-31,30.048387096774192,26.5,32.6,1.542913038755359,246.25900000000001,81.44193548387096
2020-09-30,30.92,29.1,32.9,1.1792458139231086,21.786,69.26666666666667
2020-10-31,26.048387096774192,21.7,29.3,2.3106811359051624,0.0,56.854838709677416
2020-11-30,18.60666666666667,15.3,21.2,1.7565509569516637,0.639,65.24
2020-12-31,14.45483870967742,9.1,19.4,3.135265933396763,0.0,75.06451612903226
2021-01-31,12.903225806451612,10.0,17.1,1.8643111097610547,101.903,84.83870967741936
2021-02-28,18.74642857142857,14.3,24.6,2.705068239415444,1.077,73.36428571428571
2021-03-31,25.003225806451614,20.9,30.2,2.1793705315935825,11.536999999999999,54.809677419354834
2021-04-30,29.063333333333333,25.8,33.5,2.236605083346315,2.17,31.529999999999998
2021-05-31,30.519354838709678,22.4,33.7,2.662757887959864,138.812,46.41612903225807
2021-06-30,32.333333333333336,26.9,37.7,2.4867002555433864,33.555,58.79666666666666
2021-07-31,31.41290322580645,26.3,37.5,2.932432657423279,580.87,73.90645161290323
2021-08-31,30.516129032258064,26.7,33.1,1.6976644297766965,279.781,78.61290322580645
2021-09-30,28.646666666666665,25.1,31.1,1.4435906701653718,325.454,86.44
2021-10-31,26.248387096774195,21.9,30.6,3.085651845530851,113.25999999999999,69.53225806451613
2021-11-30,19.7,17.7,22.5,1.40883909166622,0.0,67.41
2021-12-31,15.106451612903227,11.1,19.3,2.184023120126552,4.319,75.34193548387097
2022-01-31,12.667741935483871,10.0,16.2,1.7184076149688103,88.625,87.99354838709678
2022-02-28,17.071428571428573,12.5,20.1,2.2285782119012225,24.857,71.75
2022-03-31,25.5258064516129,18.3,30.7,3.736483885681428,0.0,56.980645161290326
2022-04-30,32.51,29.9,35.8,1.600721819938611,0.434,24.816666666666666
2022-05-31,33.3625,25.7,37.4,2.8232616689943746,54.19,43.884375
2022-06-30,34.38333333333333,27.7,37.8,3.218382902289146,124.03699999999999,42.88333333333333
2022-07-31,31.006451612903223,28.0,34.9,2.059115584236914,166.243,75.24838709677418
2022-08-31,30.216129032258067,27.6,32.5,1.0988165677047124,52.283,76.65806451612903
2022-09-30,29.728571428571428,25.0,32.3,2.3516514516961333,151.296,72.91071428571429
2022-10-31,25.34193548387097,22.0,29.5,2.0915343958520647,119.13499999999999,68.05806451612904
2022-11-30,20.846666666666668,17.5,25.0,2.708191066113083,0.0,60.22
2022-12-31,15.083870967741936,9.0,18.0,2.5183455910833668,109.44200000000001,71.83225806451614
2023-01-31,12.787096774193548,8.3,17.1,2.40634466019644,105.11,79.6516129032258
2023-02-28,19.610714285714288,14.2,23.5,2.6389306596526967,0.0,62.949999999999996
2023-03-31,23.32903225806452,19.9,26.3,1.7288133788598272,55.013000000000005,60.03225806451613
2023-04-30,28.103333333333335,21.0,32.9,2.9065304987613465,18.037,38.54
2023-05-31,29.983870967741936,21.7,37.4,3.979706586688149,116.014,48.351612903225806
2023-06-30,31.366666666666667,26.0,36.5,2.5867478361479463,128.722,61.74
2023-07-31,29.95483870967742,26.9,33.2,1.7421899455718415,326.951,84.37741935483871
